yale_name,seller_name_bloomberg,match_score,target_name,acquirer_name,announce_date,deal_value_mn_usd,deal_type,deal_status,payment_type,tv_ebitda
Rational,Philip Morris International In,87.5,Russian assets/Philip Morris International Inc,Potential Buyer,2023/02/27,,M&A,Withdrawn,Cash,
Vestas,Severstal Trade Ges,83.33333333333334,Severstallat AS,Marcegaglia Steel SpA,2023/04/21,,M&A,Completed,Undisclosed,
Intercontinental Exchange,Continental AG,100.0,Tayrs Rus OOO,S8 Capital AO,2023/04/24,,M&A,Pending,Undisclosed,
Hugo Boss,HUGO BOSS AG,100,Russian wholesale business,Stokmann AO/Moscow,2023/04/24,,M&A,Completed,Cash,
Mercedes-Benz,Mercedes-Benz Group AG,100.0,Local assets/Mercedes-Benz Group AG,Blok Avtodom OOO,2023/04/25,,M&A,Completed,Cash,
Chanel,Exmo Exchange Ltd,83.33333333333334,Digital asset business,Unnamed Buyer,2022/04/25,,M&A,Pending,Undisclosed,
Fazer,Fazer Group,100.0,Khelbny Dom OOO,Kolomensky Bakery and Confectionery Holding,2022/04/30,,M&A,Completed,Undisclosed,
Lear Corporation,Schaeffler AG,85.71428571428572,Russian Business of Schaeffler,PromAvtoKonsalt,2023/12/18,,M&A,Completed,Undisclosed,
Bose,Robert Bosch Stiftung GmbH,75.0,Factory assets/Russia,Can Holding AS,2023/12/19,,M&A,Withdrawn,Cash,
MAN,Anheuser-Busch InBev SA/NV,80.0,AB InBev Efes JSC,Anadolu Efes Biracilik Ve Malt Sanayii AS,2023/12/19,,M&A,Pending,Undisclosed,
CRH,Robert Bosch GmbH,80.0,Robert Bosc's factories/Strelna,Can Holding AS,2023/12/19,,M&A,Pending,Cash,
Legrand,Legrand SA,100,Russian Operations/Legrand,IEK OOO,2023/10/12,,M&A,Completed,Cash,
Valeo,Valeo SE,100,Russian Thermal Systems Business/ Valeo,NPK Avtopribor OOO,2023/10/31,,M&A,Pending,Undisclosed,
FICO,PepsiCo Inc,85.71428571428572,Timashevsky dairy plant/PepsiCo Inc,Agrokompleks Glushkovski OOO,2024/05/29,,M&A,Completed,Cash,
Nokia,Nokia Oyj,100,RTK - Network Technologies,Rostelecom PJSC,2024/05/29,,M&A,Pending,Undisclosed,
Enel,Enel SpA,100,Rusenergosbyt OOO,Rusenergosbyt OOO,2024/04/10,,INV,Completed,Undisclosed,
Gasum,Aumarche SAS,75.0,Sitras OOO,Trade Galleries OOO,2024/04/15,,M&A,Completed,Undisclosed,
MV Group,Purmo Group Oyj,87.5,Russian Business/Purmo Group Oyj,Unnamed Buyer,2024/04/19,,M&A,Completed,Cash,
Mercedes-Benz,Mercedes-Benz Group AG,100.0,Kamaz PJSC,Unnamed Buyer,2024/02/15,,INV,Completed,Undisclosed,
Rational,Foraco International SA,93.33333333333333,Eurasia Drilling Co Ltd,Unnamed Buyer,2024/03/18,,INV,Completed,Undisclosed,
Danone,Danone SA,100,EDP business/Russia,Vamin R LLC,2024/03/22,,M&A,Completed,Cash,
Danone,Danone SA,100,Russian operations/Danone,Vamin Tatarstan OAO,2024/03/23,,M&A,Completed,Cash,
EY,Maple Valley Investments Ltd,100.0,Globaltrans Investment PLC,Aqniet Capital LLC,2024/01/15,,INV,Completed,Undisclosed,
MV Group,Purmo Group Oyj,87.5,Russian Business/Purmo Group Oyj,Unnamed Buyer,2022/04/01,,M&A,Terminated,Undisclosed,
MAN,Brodrene Hartmann A/S,100.0,Russia Factory/Brodrene Hartmann,Potential Buyer,2022/04/04,,M&A,Withdrawn,Undisclosed,
Societe Generale,Societe Generale SA,100,Rosbank PJSC,Interros Holding Co,2022/04/11,,M&A,Pending,Undisclosed,
Compass Group,Compass Group PLC,100,Food service business/Russia,Unnamed Buyer,2022/04/12,,M&A,Completed,Cash,
Louis Dreyfus,Louis Dreyfus Co BV,100.0,Russia Assets/Louis Dreyfus Co BV,Unnamed Buyer,2024/12/02,,M&A,Withdrawn,Undisclosed,
Meta,Metlen Energy & Metals SA,100.0,Volgafert LLC,KuibyshevAzot PJSC,2024/12/04,,M&A,Completed,Undisclosed,
ELA Container,Telia Co AB,85.71428571428572,Latvijas Mobilais Telefons SIA,Potential Buyer,2024/12/18,,M&A,Proposed,Undisclosed,
Unilever,Unilever PLC,100,Russian assets/Unilever PLC,ArnestFinans OOO,2024/10/10,,M&A,Completed,Cash,
Aspo,Aspo Oyj,100,Russian operations/Leipurin Oyj,Private Investor,2024/10/10,,M&A,Completed,Cash,
UL,Association Familiale Mulliez,100.0,Russian operations/ELO SACA,Potential Buyer,2024/10/24,,M&A,Withdrawn,Cash,
Rational,Raiffeisen Bank International AG,93.33333333333333,Raiffeisenbank AO,Potential Buyer,2024/09/05,,M&A,Withdrawn,Undisclosed,
Foster + Partners,ECO Partners Inc,85.71428571428572,Industrial complex/Technonicol Corp,Technonicol Corp,2024/09/24,,M&A,Completed,Cash,
GM,Voith Hydro GmbH & Co KG/Austria,100.0,VolgaHydro LLC,TyazhMash OAO,2025/07/14,,M&A,Completed,Undisclosed,
Grupo Antolín,Grupo Antolin-France SAS,92.3076923076923,"Zapad LLC,Alta Povolzhye OOO",MGC Group LLC,2025/12/23,,M&A,Completed,Undisclosed,
Lufthansa,Deutsche Lufthansa AG,100.0,Aeromar JSC,Aeroflot PJSC,2025/09/08,,M&A,Proposed,Undisclosed,
ABB,Komfovent UAB,80.0,Certain Asset/Komfovent Ltd,Potential Buyer,2025/09/25,,M&A,Proposed,Cash,
Jungheinrich,Jungheinrich AG,100,Yungkhaynrikh Podyemno-Pogruzochnaya Tekhnika OOO,Unnamed Buyer,2025/06/27,,M&A,Proposed,Undisclosed,
Global Fashion Group,ING Groep NV,77.77777777777779,ING Bank Eurasia JSC,Global Development JSC,2025/01/28,,M&A,Terminated,Cash,
Gestamp,Gestamp Automocion SA,100.0,Automotive Component Factories/Gestamp Automocion SA,Polad AO,2025/01/31,,M&A,Completed,Cash,
MAN,LVL1 Management Ltd,100.0,Selectel Co Ltd,Moscow Exchange MICEX-RTS PJSC,2025/05/05,,INV,Completed,Undisclosed,
APG,Aggreko PLC,80.0,Certain assets/Aggreko Ltd,Halliburton Co,2025/05/28,,M&A,Proposed,Cash,
Meta,Ural Mining and Metallurgical Co OJSC,100.0,Sibay mining & processing plant/Bashkortostan,Polymetal JSC,2025/04/16,,M&A,Completed,Cash,
Volkswagen,Volkswagen AG,100,Banking unit/Volkswagen AG,Private Investor,2025/02/27,,M&A,Completed,Cash,
Damen,Global Payments Inc,80.0,KOKK AO,Interros Capital International Co LLC,2022/05/02,,M&A,Completed,Undisclosed,
Energizer,TotalEnergies SE,82.35294117647058,Arctic LNG 2 OOO,Nordline OOO,2026/06/03,,INV,Pending,Cash,
ELA Container,Telia Co AB,85.71428571428572,"Latvijas Mobilais Telefons SIA,Lattelecom Bpo Sia",Republic of Latvia,2024/12/18,,M&A,Proposed,Undisclosed,
Veon,VEON Ltd,100,Anchor Business/ Russia,Private Investor,2022/11/24,2142.4,AST,Completed,Cash,
Meta,Novolipetskiy Metallurgicheskiy Kombinat PAO,100.0,US Midwest assets/Novolipetsk Steel PJSC,Cleveland-Cliffs Inc,2024/05/28,500.0,AST,Withdrawn,Cash,
AVL,Petropavlovsk PLC,100.0,Russian Subsidaries & Assets/Petropavlovsk PLC,Ural Mining and Metallurgical Co OJSC,2022/08/04,398.32,AST,Completed,Cash,
Rational,Polyus Gold International Ltd,93.33333333333333,Alluvials Gold Deposits,Unnamed Buyer,2024/08/27,237.0,AST,Completed,Cash,
Heraeus,Crism Therapeutics Corp,85.71428571428572,Kun-Manie Nickel/Copper Deposit,Stanmix Holding Ltd,2022/05/09,105.0,AST,Pending,Cash,
FICO,Solidcore Resources PLC,75.0,Polymetal International/Russian Assets,Mangazeya Gaz AO/Krasnoselkup,2022/07/19,65.46,AST,Pending,Cash,
MV Group,UpHealth Group Ltd,85.71428571428572,Crop & milk production businesses/Don Agro International Ltd,Agroinvest OOO,2023/09/13,64.48,AST,Pending,Stock,
Deugro,Eurodon OOO,80.0,Eurodon leased facilities/Rostov,APK Damate OOO,2024/07/18,28.38,AST,Completed,Cash,
United Airlines,United Aircraft Corp PJSC,80.0,Sukhoi Superjet 100,Markab Capital,2023/03/01,,AST,Pending,Cash,
OBI,Mobile TeleSystems PJSC,100.0,Armenia Business,Potential Buyer,2023/03/14,,AST,Withdrawn,Undisclosed,
Isuzu,Isuzu Motors Ltd,100.0,Production/Russia,Sollers PJSC,2023/07/14,,AST,Completed,Undisclosed,
Aon PLC,Koks PAO,80.0,Tikhov Mine/Leninsk-Kuznetsk,Magnitogorsk Iron & Steel Works PJSC,2023/07/20,,AST,Completed,Undisclosed,
Esri,Helsinki Shipyard Oy,75.0,Certain assets/Helsinki Shipyard Oy,4370422 Canada Inc,2023/11/03,,AST,Completed,Cash,
MV Group,Nebius Group NV,85.71428571428572,Certain Assets,Unnamed Buyer,2023/11/14,,AST,Pending,Undisclosed,
Bain,Binance Holdings Ltd,85.71428571428572,Diversified business/Russia,Commex Technology Ltd,2023/09/27,,AST,Pending,Cash,
Acer,Russian Space Agency,75.0,Portfolio of non core asset/Russian Space Agency,Potential Buyer,2024/02/28,,AST,Withdrawn,Cash,
Veon,Ventall Terminals Sia,85.71428571428572,Portfolio of 2 Assets/Kaluga,Severstal PAO,2024/01/10,,AST,Completed,Cash,
EY,Ey Key Rasha OOO,100.0,Portfolio of 100 KFC outlets/Russia,Yunirest OOO,2024/01/22,,AST,Pending,Cash,
Ansell,Ansell Ltd,100,Russian business/Ansell Ltd,Perspectiva ZAO,2023/04/20,,AST,Completed,Cash,
Dell,Delta Motor Group Oy,85.71428571428572,Operative business/Delta Motor Group Oy,Hedin Mobility Group AB,2023/04/27,,AST,Completed,Cash,
MV Group,Nebius Group NV,85.71428571428572,Yandex.Zen,VK IPJSC,2022/04/28,,AST,Completed,Cash,
Rational,United Co RUSAL International,93.33333333333333,Aluminum Unit/United Co RUSAL International PJSC,Private Investor,2022/04/29,,AST,Pending,Cash,
Rewe,MTI Wireless Edge Ltd,75.0,Russian Business/ MTI Wireless Edge Ltd,Private Investor,2022/03/22,,AST,Completed,Undisclosed,
FMC Corporation,RVM Capital CJSC AMC,80.0,Multifunctional logistics complex/Tver,Aquarius Group Co Ltd,2022/03/31,,AST,Completed,Cash,
Aon PLC,Solid Menedzhment AO,80.0,Telemedicine Business/MKPAO Yandex,OraSure Technologies Inc,2024/09/16,,AST,Withdrawn,Cash,
NCAB Group AB,A Grupp OOO,75.0,Distribution business/A Group OOO,Severstal PAO,2024/04/04,,AST,Completed,Cash,
ABB,Viciunai Uab,80.0,Kaliningrad exclave/Russia,Private Investor,2024/04/08,,AST,Pending,Cash,
MSC,Rosneft Oil Co PJSC,80.0,German oil refineries business/Rosneft Oil Co PJSC,State of Qatar,2024/08/28,,AST,Withdrawn,Cash,
MSC,Rosneft Oil Co PJSC,80.0,German Operations/Rosneft,Federal Republic of Germany,2022/09/16,,AST,Completed,Undisclosed,
MSC,LUKOIL PJSC,80.0,Oil refinery/Italy,Crossbridge Energy Partners LLC,2022/09/21,,AST,Terminated,Cash,
Hyundai,Hyundai Motor Co,100.0,Manufacturing plant/Russia,Potential Buyer,2022/10/18,,AST,Withdrawn,Cash,
Avaya,MH Alshaya,75.0,Business of Mothercare / Russia,Private Investor,2022/10/26,,AST,Withdrawn,Undisclosed,
Bridgestone Tire,Bridgestone Corp,100.0,Russian Assets/Bridgestone Corp,Potential Buyer,2022/10/31,,AST,Withdrawn,Cash,
KBC Group,NLMK Group,87.5,Ural assets/NLMK Group,Potential Buyer,2023/02/17,,AST,Withdrawn,Undisclosed,
MSC,LUKOIL PJSC,80.0,Pecan oil field/Ghana,Potential Buyer,2023/02/28,,AST,Withdrawn,Cash,
MSC,LUKOIL PJSC,80.0,Oil refinery/Italy,Trafigura Ltd,2023/01/09,,AST,Pending,Undisclosed,
Euroins,Euroins Insurance Group AD,100.0,"Insurance business/Belarus,Insurance business/Russia",Unnamed Buyer,2023/01/16,,AST,Pending,Undisclosed,
Hitachi Construction,Hitachi Ltd,100.0,Russian business/Hitachi Energy AG,Management Group,2023/01/31,,AST,Completed,Cash,
Hitachi Construction,Hitachi Ltd,100.0,Russia business,Unnamed Buyer,2023/01/31,,AST,Completed,Cash,
EY,O'Key Group SA,100.0,Hypermarket business/O'KEY Group SA,Rbf Retail LLC,2024/12/26,,AST,Completed,Cash,
