name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,action_text
Nemetschek Group,Germany,Information Technology,A,C,other,yes,No longer engaged in any Russian business
Nemiroff,Ukraine,Consumer Staples,A,,other,no,Revoke all licenses related to Russia and end all business there
Netflix,United States,Communication Services,A,A,suspended,yes,suspend service in Russia
Netscout,United States,Information Technology,A,A,suspended,yes,"pause all sales, support, and services in Russia"
Next,United Kingdom,Consumer Discretionary,A,,sold,no,Fully wind down Russian business
Nike,United States,Consumer Discretionary,A,A,sold,yes,exit Russia
Nissan,Japan,Consumer Discretionary,A,A,other,yes,Exit from Russian Market
Nokia,Finland,Information Technology,A,A,other,yes,pulling out of Russia completely
Nokian Tyres,Finland,Consumer Discretionary,A,C,other,yes,meaningfully reduce production in Russia
Nordea Bank,Finland,Financials,A,C,suspended,yes,Ceased all operations
Norton Rose Fulbright,United Kingdom,Industrials,A,A,other,yes,exit from Russia
Norwegian Cruise Lines,United States,Consumer Discretionary,A,A,other,yes,discontinue Russian itineraries
OBI,Germany,Consumer Discretionary,A,A,sold,yes,Fully exit Russia after selling its operations
Oceania Cruises,United States,Consumer Discretionary,A,A,other,yes,discontinue Russian itineraries
Oerlikon,Switzerland,Materials,A,A,other,yes,sell Russian operations
Olam Group,Singapore,Consumer Staples,A,D,sold,yes,divest Russian operations
Omnicom Media Group,United States,Communication Services,A,A,other,yes,exit Russian operations
Omron,Japan,Information Technology,A,,sold,no,fully wind down Russian business
OneWeb,United States,Communication Services,A,A,suspended,yes,suspend use of Russian airspace
Orica,Australia,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Orkla,Norway,Consumer Staples,A,A,other,yes,exit Russian operations
Orlen Lietuva,Poland,Energy,A,A,suspended,yes,stopped Russian oil imports
Orsted,Denmark,Utilities,A,C,other,yes,end all gas purchases from Russia
Otis Worldwide,United States,Industrials,A,C,sold,yes,fully exit Russia through divesting business
Owens Corning,United States,Industrials,A,A,other,yes,expedite exit from Russia
PFZW,Netherlands,Financials,A,A,sold,yes,divest from all Russian assets
PGL Esports,United States,Communication Services,A,A,other,yes,exclusion of esports teams and individuals with connections to the Russian government from upcoming competition
PHX,United States,Energy,A,,sold,no,Fully exit Russia after selling its operations
PKO BP,Poland,Financials,A,A,suspended,yes,suspends transactions with Russian banks transactions in Russian ruble suspended
PME pensioenfonds,Netherlands,Financials,A,A,sold,yes,sell off all Russian investments
PZU SA,Poland,Financials,A,A,other,yes,reduced position in Russian bonds to zero
Pandora,Denmark,Consumer Discretionary,A,B,suspended,yes,suspend all business with Russia and Belarus
Parker Hannifin,United States,Industrials,A,A,other,yes,closed our office and warehouse facility in Moscow and no longer do business in this country
Paul Smith,United Kingdom,Consumer Discretionary,A,,other,no,Leaving Market
Paulig,Finland,Consumer Staples,A,A,sold,yes,withdraw from Russia
Paysera,Lithuania,Financials,A,,suspended,no,Close accounts of Russians and halt transfers to and from Russia
Pensioenfonds Detailhandel,Netherlands,Financials,A,A,sold,yes,sell off all Russian investments
Pentair,United States,Industrials,A,A,other,yes,exiting its business in Russia
Petro,Austria,Energy,A,,sold,no,Fully exit Russia after selling its operations
Petrofac,United Kingdom,Energy,A,,other,no,fully end all business operatins in R
Pixabay,Germany,Consumer Discretionary,A,,other,no,block Russian access
Playrix,Ireland,Consumer Discretionary,A,,other,no,Fully end operations in Russia
Playtika,Israel,Information Technology,A,C,other,yes,end Russian operations
Polskie Górnictwo Naftowe i Gazownictwo SA,Poland,Energy,A,A,suspended,yes,stopped gaz imports
Ponsse PLC,Finland,Industrials,A,A,sold,yes,divest Russian operations
Postnord,Norway,Utilities,A,,other,no,reject all Russian items
Primo Water,United States,Consumer Staples,A,,sold,no,Withdrew from Russia
Princess Cruises,United States,Consumer Discretionary,A,,other,no,reject bookings from Russia
Prio,Portugal,Energy,A,A,suspended,yes,ceased purchase of any products from Russian or directly related companies
Publicis Groupe,France,Communication Services,A,A,other,yes,cede ownership to local affiliates
Pure Storage,United States,Information Technology,A,,sold,no,fully wind down Russian business
PwC,United States,Industrials,A,A,other,yes,leaving Russia completely
Qantas Airlines,Australia,Industrials,A,A,other,yes,No longer flies over Russian territory
R&amp;A,United States,Industrials,A,,other,no,ban on all Russian competition
RWS,United Kingdom,Industrials,A,,sold,no,Fully wind down Russian business
Raisio,United States,Consumer Staples,A,,sold,no,Fully exit Russia after selling its operations
Rational,Germany,Consumer Discretionary,A,C,other,yes,Closed Russian Business
Red Hat,United States,Information Technology,A,A,other,yes,discontinue sales and services in Russia &amp; terminate partnerships
Reface,Ukraine,Information Technology,A,,other,no,Removed App  and updates of app in Russia
Refinitiv,United Kingdom,Financials,A,,other,no,end Russian access
Regent Seven Seas Cruises,United States,Consumer Discretionary,A,A,other,yes,discontinue Russian itineraries
Rehau,Switzerland,Consumer Discretionary,A,,sold,no,Fully exit Russia after selling its operations
Renault,France,Consumer Discretionary,A,A,other,yes,sell Renault Russia; transfer Moscow factory to city government and partner for local brand production
Repsol,Spain,Energy,A,,sold,no,Withdrew from Russia
Resbud,Estonia,Industrials,A,,sold,no,Withdrew from Russia
Rewe,Germany,Consumer Discretionary,A,A,other,yes,remove products from Russia from shelves
Rimi,Latvia,Consumer Discretionary,A,A,other,yes,remove products from Russia from shelves
Rio Tinto,Australia,Materials,A,A,other,yes,Terminated all commercial relationships with Russia
Rocket Lawyer,United States,Information Technology,A,A,suspended,yes,suspend Russian and Belarusian access to the platform
Roku,United States,Communication Services,A,A,other,yes,remove Kremlin-linked propaganda and ads
Roland Berger,Germany,Industrials,A,A,other,yes,end any activity for Russia
Royal London,United Kingdom,Financials,A,,sold,no,fully divest Russian assets
Royal Swinkels Family Brewers,Netherlands,Consumer Staples,A,F,other,yes,Terminated licence contract with MBC
S Group (Suomen Osuuskauppojen Keskuskunta),Finland,Consumer Staples,A,A,other,yes,close all operations
S&amp;P 500 [S&amp;P Dow Jones Indices],United States,Financials,A,,other,no,curtail Russian access to capital markets
SKF,Sweden,Industrials,A,A,other,yes,end sales and production in Russia
SMAY,Poland,Industrials,A,A,other,yes,end cooperation with Russia
SRV,Finland,Industrials,A,D,sold,yes,Sold its last remaining asset in Russia
Salesforce,United States,Industrials,A,A,other,yes,exit business relationships in Russia
Sarantis Group,Greece,Consumer Staples,A,A,sold,yes,Permanent withdrawal from Russian market
Savills,United Kingdom,Real Estate,A,A,other,yes,end partnerships in Russia
Schneider Electric,France,Industrials,A,A,other,yes,sell Russian assets to local management and exit completely
Senior PLC,United Kingdom,Industrials,A,,other,no,cease servicing Russian aircraft
Sidley Austin,United States,Industrials,A,A,other,yes,end all Russian relationships
Siemens,Germany,Industrials,A,A,other,yes,exit Russian market
Slack,United States,Information Technology,A,A,other,yes,exit Russian market completely
Smurfit Kappa,Ireland,Materials,A,A,other,yes,exit Russian market
Societe Generale,France,Financials,A,A,other,yes,cessation of all activities in Russia
Sodexo,France,Industrials,A,A,other,yes,ceded control of its operations in Russia
SoftwareOne,Switzerland,Information Technology,A,,sold,no,Fully exit Russia after selling its operations
Sonos,United States,Consumer Discretionary,A,A,suspended,yes,ceased all sales to this market at the onset of the war and blocked Russian state radio
Spin Master,Canada,Consumer Discretionary,A,,sold,no,fully exit Russia
Squire Patton Boggs,United States,Industrials,A,A,other,yes,leave Russia
Stanley Black &amp; Decker,United States,Industrials,A,,other,no,shut down Russian business
Starbucks,United States,Consumer Discretionary,A,A,other,yes,exit and no longer have a brand presence in Russia
State Street,United States,Financials,A,A,other,yes,curtail Russian access to capital markets
Stora Enso,Finland,Materials,A,A,sold,yes,divest packaging plants
Storebrand,Norway,Financials,A,A,sold,yes,divest all Russian holdings
Strabag,Austria,Industrials,A,A,sold,yes,winding down operations in Russia; terminating shareholder syndicate agreements with Deripaska
Strava,United States,Information Technology,A,,other,no,disable access in Russia
Sulzer,Switzerland,Industrials,A,A,other,yes,exit Russian market
Svenska Handelsbanken,Sweden,Financials,A,A,sold,yes,divest from all Russian investments
Sylvamo,United States,Materials,A,A,sold,yes,Sold operations in Russia
Systembolaget,Sweden,Consumer Discretionary,A,A,other,yes,remove all Russian alcohol from stores
Sæplast,Iceland,Materials,A,A,suspended,yes,Stopped all operations in Russia
TDZ Turn,Czech Republic,Industrials,A,F,suspended,yes,fully stopped trade with Russia
TJ Maxx,United States,Consumer Discretionary,A,A,sold,yes,divest Familia subsidiary
TUI,Germany,Consumer Discretionary,A,A,sold,yes,end brand-sharing agreement; had already exited
Tata Steel,India,Materials,A,A,other,yes,Replaced all Russian raw materials for operations; no presence in Russia
Tchibo,Germany,Consumer Staples,A,A,other,yes,sell Russian subsidiary
TeamViewer,Germany,Information Technology,A,A,sold,yes,withdraw from Russia/Belarus
Technip Energies,France,Energy,A,D,other,yes,No new business. Signed exit agreement on Arctic LNG 2
Teknos,Finland,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Teknotherm Marine HVAC sp. z o.o.,Poland,Industrials,A,A,sold,yes,complete withdrawal from Russia
Teleperformance,France,Communication Services,A,,sold,no,Withdrew from Russia
Teradata,United States,Information Technology,A,A,suspended,yes,stopped all business in Russia and ceased customer interactions and services with all Russian accounts.
Terex Corporation,United States,Industrials,A,C,sold,yes,fully withdraw from Russia
Tetra Pak,Sweden,Industrials,A,C,other,yes,completely left Russia
Tietoevry,Finland,Information Technology,A,A,other,yes,conclude total exit from Russia
Tom Ford,United States,Consumer Discretionary,A,F,suspended,yes,We have ceased all marketing and advertising
Topsoe,Denmark,Energy,A,,sold,no,Fully wind down all Russian business
Toyota,Japan,Consumer Discretionary,A,C,suspended,yes,stop production at its St. Petersburg plant and stop imports of vehicles
Trane Technologies,Ireland,Industrials,A,A,sold,yes,suspend all business activities indefinitely &amp; exit Russia
TransferGo,United Kingdom,Financials,A,,other,no,End all remittances to Russia
Trimble,United States,Information Technology,A,B,other,yes,Discontinue business operations in Russia
TripAdvisor,United States,Communication Services,A,A,other,yes,remove Kremlin-linked propaganda and ads
Triumph Motorcycles,United Kingdom,Consumer Discretionary,A,A,other,yes,Discontinued commercial activity in Russia
Tunnock's,United Kingdom,Consumer Staples,A,A,other,yes,discontinue supplies to Russia
UEFA,Switzerland,NGO,A,A,other,yes,ban Russian athletes from competing
Uber,United States,Information Technology,A,A,sold,yes,divest from partnership with Yandex
Umbro,United Kingdom,Consumer Discretionary,A,A,sold,yes,withdrawal from the Russian market
Unilever,United Kingdom,Consumer Staples,A,D,sold,yes,completed the sale of its Russian subsidiary to Arnest Group. The completion of the sale ends Unilever presence in Russia.
United Airlines,United States,Industrials,A,A,other,yes,no flying over Russian airspace
United Internet Group,Germany,Information Technology,A,A,suspended,yes,suspend all Russian contracts
Universal,United States,Communication Services,A,A,sold,yes,closing operations in Russia
Uponor,Finland,Industrials,A,,other,no,Completes Exit
VTG,Germany,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Vaillant Group,Germany,Industrials,A,A,other,yes,Terminated business activities in Russia
Valeo,France,Consumer Discretionary,A,F,other,yes,No longer have any industrial activities
Valio,Finland,Consumer Staples,A,A,other,yes,sell business and Viola brand to Velcom
Valmet,Finland,Industrials,A,A,other,yes,exit from Russia
Van Oord,Netherlands,Industrials,A,,sold,no,Full withdrawal from Russia
VanEck,United States,Financials,A,,other,no,liquidate Russian ETFs
Vanguard,United States,Financials,A,A,suspended,yes,suspend operations in Russia
Velux,Denmark,Consumer Discretionary,A,A,sold,yes,permanently close operations in Russia and Belarus
Veon,Netherlands,Communication Services,A,,sold,no,Fully divested from Russia and sale of its Russian business approved
Vestas,Denmark,Energy,A,A,sold,yes,Fully Withdrawn from Russia
Vianor,Finland,Consumer Discretionary,A,A,other,yes,terminate contract with Russian subsidiary
Vinmonopolet,Norway,Consumer Staples,A,A,suspended,yes,"stop sales of all Russian wine, spirits and strong beers in Norway"
Visteon,United States,Consumer Discretionary,A,,suspended,no,Ceased business activity in Russia
Vodafone,United Kingdom,Information Technology,A,A,suspended,yes,suspend partner agreement with MTS
Volaris Group,Canada,Information Technology,A,A,other,yes,discontinue sales and support to Russia
Volfas Engelman,Lithuania,Consumer Staples,A,A,sold,yes,suspend investment and withdraw from Russian market
Vorwerk Group,,,A,,suspended,no,Stopped all product deliveries
WIKA,Germany,Industrials,A,F,suspended,yes,Suspended business in Russia
WPP PLC,United Kingdom,Communication Services,A,A,other,yes,leave Russia
Waitrose,United Kingdom,Consumer Staples,A,A,other,yes,remove products from Russia
Walker's Shortbread,United Kingdom,Consumer Staples,A,A,other,yes,cancel all future orders to Russia
Wallenius Wilhelmsen,Norway,Consumer Discretionary,A,,other,no,End all operations in Russia
Wargaming,Belarus,Consumer Discretionary,A,A,sold,yes,close operations; transfer of some business
Wartsila,Finland,Industrials,A,C,other,yes,Ended Activity
WePlay,United States,Consumer Discretionary,A,A,other,yes,terminate all Russian operations
Wear Medicine,Poland,Consumer Discretionary,A,A,other,yes,terminate cooperation with Russian partners
Weir Group,United Kingdom,Industrials,A,A,sold,yes,wind down Russian business in 2022
Wex Inc.,United States,Information Technology,A,A,other,yes,ending relationship with Lukoil and subsidiaries
White &amp; Case,United States,Industrials,A,,sold,no,wind down Russian operations
Wienerberger,Austria,Industrials,A,F,sold,yes,Fully exit Russia after selling its operations
Willis Towers Watson,United Kingdom,Financials,A,A,sold,yes,Fully exit Russia and transfer ownership to local management
Windstar Cruises,United States,Consumer Discretionary,A,,other,no,Cancel all Russian cruises
Winston &amp; Strawn,United States,Industrials,A,,other,no,Close Russian office
Women's Tennis Association,United States,NGO,A,A,suspended,yes,Suspend Russian partnerships
World Athletics Council,United States,NGO,A,A,other,yes,Ban on all Russian competition
World Boxing Association,Panama,NGO,A,A,other,yes,Ban on all Russian competition
World Boxing Organization,United States,NGO,A,A,other,yes,Ban on all Russian competition
World Rowing Federation,United States,NGO,A,A,other,yes,Ban on all Russian competition
World Rugby Union,Ireland,NGO,A,A,other,yes,Ban on all Russian competition
YIT,Finland,Industrials,A,A,other,yes,Exits Russia projects
ZET Chemie,Germany,Materials,A,F,other,yes,still operating in Russia
ZF Friedrichshafen,Germany,Consumer Discretionary,A,C,other,yes,Ended all business in Russia
Zepz,United Kingdom,Financials,A,,other,no,Disable all Russian transactions
Zott,Germany,Consumer Staples,A,,other,no,discontinue business in preparation for liquidation
Zurich Insurance Group,Switzerland,Financials,A,A,sold,yes,sell Russian business to local team and exit market
Zwack,Hungary,Consumer Staples,A,F,other,yes,Terminated Business in Russia
edX (2U),United States,Information Technology,A,A,sold,yes,withdraw from all Russian partnerships
3M,United States,Industrials,B,B,suspended,yes,suspend operations in Russia
ACCA,United Kingdom,Industrials,B,B,suspended,yes,suspend operations in Russia and Belarus
ADEO | Leroy Merlin,France,Consumer Discretionary,B,C,other,yes,Will transfer control of Leroy Merlin
ADP,United States,Information Technology,B,B,suspended,yes,suspend sales/services to Russia
AICPA,United States,Industrials,B,B,sold,yes,suspend sale and delivery of services indefinitely
AL-KO Vehicle Technology,Germany,Consumer Discretionary,B,B,suspended,yes,suspend deliveries to Russia and Belarus
AM Best,United States,Information Technology,B,B,suspended,yes,suspend all commercial activities to Russian clients
AMD,United States,Information Technology,B,B,suspended,yes,suspend all sales to Russia
ARM,United Kingdom,Information Technology,B,B,suspended,yes,suspend shipments according to sanctions
AXA,France,Financials,B,B,suspended,yes,stop underwriting new insurance &amp; stop renewals
AXA Investments Managers,France,Financials,B,B,suspended,yes,pause investments &amp; prohibit new subscriptions
Abrdn,United Kingdom,Financials,B,B,suspended,yes,suspend investments in Russia and reduce exposure
Acer,Taiwan,Information Technology,B,B,suspended,yes,suspend its business in Russia
Acne Studios,Sweden,Consumer Discretionary,B,B,other,yes,put all Russian activities on hold
Adamed,Poland,Health Care,B,B,suspended,yes,halt sales and production in Russia
Air Astana,Kazakhstan,Industrials,B,B,suspended,yes,suspend flights to Russia
Air France,France,Industrials,B,B,suspended,yes,halt flight to and from Russia
Air Malta,Malta,Industrials,B,B,suspended,yes,suspend all flights to and from Russia
Airbnb,United States,Consumer Discretionary,B,B,other,yes,block bookings and block accepting guests in Russia
Akamai,United States,Information Technology,B,B,suspended,yes,suspend sales in Russia
Akin Gump,United States,Industrials,B,B,suspended,yes,suspend operations in Russia
Alaska Airlines,United States,Industrials,B,B,suspended,yes,temporarily suspend partnership with Russian airline
Alimentation Couche-Tard,Canada,Consumer Staples,B,B,suspended,yes,suspend operations
Alstom,France,Industrials,B,B,suspended,yes,suspend shipments to Russia
Amazon,United States,Consumer Discretionary,B,B,suspended,yes,suspend operations in Russia
Ambarella,United States,Information Technology,B,B,suspended,yes,suspend shipments into Russia
Amdocs,United States,Information Technology,B,B,suspended,yes,stop all new sales of product and services in Russia
Amer Sports,Finland,Consumer Discretionary,B,B,other,yes,Intention to discontinue business in Russia
American Express,United States,Financials,B,B,suspended,yes,suspend operations in Russia
Amica,Poland,Consumer Discretionary,B,B,suspended,yes,suspended Russian exports
Analog Devices,United States,Information Technology,B,B,suspended,yes,suspend sales to Russia according to sanctions
Ansys,United States,Information Technology,B,B,suspended,yes,suspend all sales and business activity
Aon PLC,United Kingdom,Financials,B,B,suspended,yes,suspend operations in Russia
Apple,United States,Information Technology,B,B,suspended,yes,suspend all official site sales; turn off select apps and services
Arla,Denmark,Consumer Staples,B,B,other,yes,suspends all operations
Asian Infrastructure Investment Bank,China,Financials,B,B,other,yes,curtail Russian access to capital markets
Asos,United Kingdom,Consumer Discretionary,B,B,suspended,yes,suspend all shipments to Russia
Association of International Certified Professional Accountants,United States,Industrials,B,B,other,yes,indefinite suspension of services within Russia
Aston Martin,United Kingdom,Consumer Discretionary,B,B,suspended,yes,suspend all shipments to Russia
Asus,Taiwan,Information Technology,B,B,suspended,yes,suspend shipments to Russia
Atlassian,Australia,Information Technology,B,B,suspended,yes,Suspended software sales to Russia
Audi,Germany,Consumer Discretionary,B,B,suspended,yes,suspend operations at Kaluga assembly plant
Australia Post,Australia,Communication Services,B,,suspended,no,Suspend all business with Russia
Austrian Airlines,Austria,Industrials,B,B,other,yes,Cancel Russian flights until July
Autodesk,United States,Information Technology,B,B,suspended,yes,suspend operations in Russia
Avast,Czech Republic,Information Technology,B,B,suspended,yes,suspend all operations in Russia
Axis Communication,Sweden,Consumer Discretionary,B,,suspended,no,Suspend all product shipments to Russia
Azerbaijan Airlines,Azerbaijan,Industrials,B,B,suspended,yes,suspend flights to Russia
B Lab,United States,NGO,B,B,suspended,yes,suspend Russian companies from obtaining certifications
BCG,United States,Industrials,B,B,suspended,yes,suspend operations; Moscow office ope
BMC,United States,Information Technology,B,B,suspended,yes,suspend all business with Russia &amp; Belarus
BMW,Germany,Consumer Discretionary,B,B,suspended,yes,suspend exports to and production in Russia
BNP Paribas,France,Financials,B,B,suspended,yes,suspend new business in Russia/curtail financing
BUDVAR Centrum Sp. z.o.o.,Poland,Industrials,B,B,suspended,yes,Suspended Activity
Badminton World Federation,Malaysia,NGO,B,B,other,yes,cancel all tournaments
Bain,United States,Industrials,B,B,suspended,yes,suspend consulting for all Russian businesses
Bang &amp; Olufsen,Denmark,Information Technology,B,,suspended,no,suspended deliveries and sales to Russia
Bank of China,China,Financials,B,B,other,yes,curtail Russian access to capital markets
Bentley,United States,Consumer Discretionary,B,B,suspended,yes,suspend all shipments to Russia
Big Fish Games,United States,Communication Services,B,B,suspended,yes,suspend downloadable game business in Russia
Bitdefender,Romania,Information Technology,B,B,suspended,yes,suspend all sales to Russia
BlackBerry,Canada,Information Technology,B,B,other,yes,cease all activities in Russia
Boeing,United States,Industrials,B,B,suspended,yes,suspend operations in Russia/titanium purchases
Bombardier,Canada,Industrials,B,B,other,yes,restrict Russian business
Boohoo Group,United Kingdom,Consumer Discretionary,B,B,suspended,yes,suspend all shipments to Russia
Boosteroid Cloud Gaming,United Arab Emirates,Information Technology,B,B,suspended,yes,suspend services to Russia
Boryszew,Poland,Materials,B,B,suspended,yes,suspended operations in Russia
Brav,Norway,Consumer Discretionary,B,B,suspended,yes,suspend sales and operations in Russia
Bridgestone Tire,Japan,Consumer Discretionary,B,B,suspended,yes,suspend manufacturing in Russia and shipments into
Brinks,United States,Consumer Discretionary,B,,suspended,no,Suspended business in Russia
British Airways,United Kingdom,Industrials,B,B,other,yes,cancel Russian flights
Brown-Forman,United States,Consumer Staples,B,B,suspended,yes,suspend commercial operations in Russia
Brunico Communications,Canada,Communication Services,B,,other,no,Put all business with Russia on hold
Budweiser Budvar,Czech Republic,Consumer Staples,B,B,other,yes,suspends production and supply of beer
Bulgaria Air,Bulgaria,Industrials,B,B,suspended,yes,suspend flights to Russia
Bulgarian Postbank,Bulgaria,Financials,B,B,suspended,yes,stop operations in Russian ruble
Burberry,United Kingdom,Consumer Discretionary,B,B,suspended,yes,suspend all shipments to Russia
Buta Airways,Azerbaijan,Industrials,B,B,suspended,yes,suspend flights to Russia
CBRE,United States,Real Estate,B,B,other,yes,discontinue Russian business
CME Group,United States,Financials,B,B,suspended,yes,suspend acceptance of certain Russian commodities
CNH Industrial,United Kingdom,Industrials,B,B,suspended,yes,suspend sales to Russia
Callaway Golf,United States,Consumer Discretionary,B,,suspended,no,Suspended business in Russia
Canada Goose,Canada,Consumer Discretionary,B,B,suspended,yes,suspend all shipments to Russia
Canadian Tire,Canada,Consumer Discretionary,B,B,other,yes,close Russia stores
Canon,Japan,Information Technology,B,B,suspended,yes,suspend deliveries in Russia
Canonical,United Kingdom,Information Technology,B,B,suspended,yes,suspend support &amp; professional services
Capgemini,France,Information Technology,B,B,suspended,yes,stop services to Russia
Cargolux,Luxembourg,Industrials,B,B,suspended,yes,suspend all shipments into and through Russia
Ceratizit,Luxembourg,Industrials,B,A,suspended,yes,Stop all deliveries to Russia and Belarus. Still distributes through distributors
Chemours,United States,Materials,B,,suspended,no,Suspended business in Russia
Chevron,United States,Energy,B,B,other,yes,"Pausing all transactions and sales of refining products, lubricants, and chemicals"
Chipperfield,United Kingdom,Industrials,B,B,suspended,yes,suspend operations in Russia
Chopard,Switzerland,Consumer Discretionary,B,,suspended,no,Suspend all Russian diamond purchases
Cie Automotives,Spain,Consumer Discretionary,B,B,other,yes,temporarily shut down aluminum plant
Ciena,United States,Communication Services,B,B,suspended,yes,suspend business operations in Russia
Citrix,United States,Information Technology,B,B,suspended,yes,suspend all sales to Russia
Cleary Gottlieb,United States,Industrials,B,B,suspended,yes,suspend Russian operations
Clorox,United States,Consumer Staples,B,B,suspended,yes,suspend business activity in Russia
Clutch,United States,Industrials,B,B,suspended,yes,suspend all business activity
Cogent Communications,United States,Communication Services,B,B,other,yes,cut all internet to Russia
Columbia Sportswear,United States,Consumer Discretionary,B,B,suspended,yes,pause taking any new orders from Russian distributor &amp; remove future sales
Commerzbank,Germany,Financials,B,B,suspended,yes,suspend operations in Russia
Conde Nast,United States,Communication Services,B,B,suspended,yes,suspend all publishing operations
Conformis,United States,Health Care,B,B,suspended,yes,suspend distribution operations in Russia
Costco,United States,Consumer Discretionary,B,B,suspended,yes,stopped purchases from Russia
Coupa,United States,Information Technology,B,B,suspended,yes,suspend operations in Russia
Coursera,United States,Consumer Discretionary,B,B,suspended,yes,platform available; refrain from financial benefits from the region; suspend some content
Credit Agricole,France,Financials,B,B,suspended,yes,suspend all services in Russia
Criteo,France,Consumer Discretionary,B,,other,no,Discontinued Operations
Crocs,United States,Consumer Discretionary,B,B,suspended,yes,suspend D2C business
Curve,United Kingdom,Financials,B,B,other,yes,no longer allow Russian payment cards &amp; transaction in RUB
Cyprus Airways,Cyprus,Industrials,B,B,suspended,yes,suspend flights to Russia
DACHSER,Germany,Industrials,B,B,other,yes,End all transports to Russia
DAF,Netherlands,Consumer Discretionary,B,,suspended,no,Suspend business in Russia
DHL,Germany,Industrials,B,B,suspended,yes,suspend all shipments to Russia
DJI,China,Information Technology,B,B,suspended,yes,stop selling drones in Russia
DKV Mobility,Germany,Information Technology,B,B,suspended,yes,stop all activity for Russian domestic business
DSV A/S,Denmark,Industrials,B,B,suspended,yes,suspend all shipments to Russia
Daimler Truck,Germany,Consumer Discretionary,B,B,other,yes,freeze activities in Russia
Damen,Netherlands,Industrials,B,B,suspended,yes,"stop supplying ships to Russia, halt new contracts"
Danaher,United States,Health Care,B,B,suspended,yes,suspended shipments to Russia except for humanitarian medical products
Danone,France,Consumer Staples,B,B,other,yes,Announced Transfer
Danske Bank,Denmark,Financials,B,C,suspended,yes,suspend operations in Russia
Dassault Aviation,France,Industrials,B,B,suspended,yes,suspend all shipments to Russia
Dassault Systèmes,France,Information Technology,B,B,suspended,yes,suspend business operations in Russia
Debevoise &amp; Plimpton,United States,Industrials,B,,sold,no,Wind down Russia operations; local partners and counsel open Russian business
Decathlon,France,Consumer Discretionary,B,B,suspended,yes,suspend the operation of its stores in Russia
Deckers,United States,Consumer Discretionary,B,B,suspended,yes,suspend business in Russia
Demant,Denmark,Health Care,B,B,suspended,yes,suspend all trade with Russia
Denso,Japan,Consumer Discretionary,B,B,suspended,yes,suspend all shipments into Russia
Depositphotos,Ukraine,Consumer Discretionary,B,B,suspended,yes,stop all sales and services to Russia
Diadora,Italy,Consumer Discretionary,B,B,suspended,yes,suspend contracts with Russian commercial partners
Diageo,United Kingdom,Consumer Staples,B,B,suspended,yes,suspend all shipments to Russia
Diebold Nixdorf,United States,Information Technology,B,B,suspended,yes,suspend shipments and sales of any kind into Russia.
DirecTV,United States,Communication Services,B,B,other,yes,cut Kremlin backed TV networks
Discover,United States,Communication Services,B,B,suspended,yes,suspend efforts to establish Russian presence
Discovery,United States,Communication Services,B,,suspended,no,Suspend Russian access
Disney,United States,Communication Services,B,B,suspended,yes,pause new content releases
Dreamstime,United States,Communication Services,B,B,other,yes,restrict download plans and payments for Russian customers
DuPont,United States,Materials,B,B,suspended,yes,suspend operations in Russia and Belarus
Dyson,Singapore,Consumer Discretionary,B,,suspended,no,Suspend business in Russia
ECFMG,United States,Industrials,B,,suspended,no,Suspend Russian certifications
EDF,France,Utilities,B,B,suspended,yes,suspend Moscow office
ESET,Slovakia,Information Technology,B,B,suspended,yes,suspend all sales to Russia
Edrington,United Kingdom,Consumer Staples,B,B,suspended,yes,suspend all shipments to Russia
Egon Zehnder,United States,Industrials,B,B,suspended,yes,stop operations in Russia
Electrolux,Sweden,Consumer Discretionary,B,B,other,yes,suspending all shipments into Russia
Elsevier,Netherlands,Communication Services,B,C,sold,yes,Winding down all operations in Russia
Embraer,Brazil,Industrials,B,B,suspended,yes,suspend supplying parts and services to Russia
Epiroc,Sweden,Consumer Staples,B,B,suspended,yes,pause all deliveries to Russia and no operations domestically
Eppendorf SE,Germany,Health Care,B,B,suspended,yes,suspend exports to Russia; keep rep office open
Epson,Japan,Consumer Discretionary,B,B,suspended,yes,suspend exports to Russia &amp; Belarus
Equinix,United States,Real Estate,B,B,suspended,yes,suspend Russian partnerships and customers
Ericsson,Sweden,Information Technology,B,B,suspended,yes,suspend all shipments to Russia
Esri,United Kingdom,Information Technology,B,C,other,yes,Suspending all sales of products and services.
Estee Lauder,United States,Consumer Staples,B,B,suspended,yes,suspend operations in Russia
Etex,Belgium,Communication Services,B,,suspended,no,Suspended business in Russia
Eurasian Resources Group,Luxembourg,Materials,B,,suspended,no,Suspend substantively all Russian commodities purchases
European University Association,Belgium,NGO,B,B,other,yes,cease cooperation with governmental agencies in Russia
Exiger,United States,Industrials,B,B,other,yes,halting all activity and due diligence in Russia
Exor,Netherlands,Financials,B,B,other,yes,holding company's assets are suspending operations
FANUC,Japan,Industrials,B,A,suspended,yes,"Totally suspend all shipments, services and maintenance in Russia"
FIBA,Switzerland,NGO,B,B,other,yes,ban Russian teams and officials from participating in basketball events
FIFA,Switzerland,Industrials,B,B,other,yes,ban Russian athletes from competing
Famur,Poland,Industrials,B,B,suspended,yes,suspend Russian exports
